"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2vwlzO0Qp8kfEtzTsCXfyE","Wrecking Ball","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:3RDqXDc1bAETps54MSSOW0","Bangerz (Deluxe Version)","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2013-10-04","https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c","1","6","221360","https://p.scdn.co/mp3-preview/c4982504b76128685194200ac91746aa14b6cfbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC11301214","spotify:user:1234656043","2018-10-03T17:42:34Z"
"spotify:track:7oNCvSzpeW7JLfYy00MYA2","I Got (feat. Pimp C & Project Pat) - Explicit Album Version","spotify:artist:26s8LSolLfCIY88ysQbIuT, spotify:artist:7v9bFXCdSMA2o3gS4nvp0F, spotify:artist:08Ld63UgKrJ0nZnCkzHtzc","Three 6 Mafia, Pimp C, Project Pat","spotify:album:0msDLgGPTbHmgPwY4yYRkn","Last 2 Walk","spotify:artist:26s8LSolLfCIY88ysQbIuT","Three 6 Mafia","2008-06-21","https://i.scdn.co/image/ab67616d0000b273ee669a2eba58523cc2ca4ec4","1","5","227213","https://p.scdn.co/mp3-preview/c966a97542a2a58a8f43fbd1ecf343abf21de7bb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","USSM10801280","spotify:user:1234656043","2018-10-03T17:43:33Z"
"spotify:track:5iSEsR6NKjlC9SrIJkyL3k","Pursuit Of Happiness (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:57dN52uHvrHOxijzpIgu3E","Kid Cudi, MGMT, Ratatat","spotify:album:47y3PbX8oIDCkYAFylCJz0","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-09-15","https://i.scdn.co/image/ab67616d0000b273aab2c3c3f1f3207137d915c9","1","13","295293","","true","71","USUM70981907","spotify:user:1234656043","2018-10-03T17:46:49Z"
"spotify:track:3fpVWegR6YOS1Yk5HSMYIq","Paranoid","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","1","221786","","false","63","USUM71710835","spotify:user:1234656043","2018-10-03T17:57:21Z"
"spotify:track:3mcG2NI5G5vhrQtRda1YnA","The Middle","spotify:artist:3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","spotify:album:2ZuFyQ3E5n1L0VA9iyH0YV","Bleed American (Deluxe Edition)","spotify:artist:3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","2001","https://i.scdn.co/image/ab67616d0000b273b5ec73a1aa766b71aaeeed5e","1","3","168253","","false","0","USDW10110256","spotify:user:1234656043","2018-10-03T18:28:50Z"
"spotify:track:18IqyOGs1pRNZfbMo93r57","Sweetness","spotify:artist:3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","spotify:album:1VbyDS3tGhe4iHfIJ7AMtr","Bleed American","spotify:artist:3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","2001-01-01","https://i.scdn.co/image/ab67616d0000b273a7505b2b1540e9230b836e89","1","5","220026","","false","0","USDW10110258","spotify:user:1234656043","2018-10-03T18:29:02Z"
"spotify:track:5z6xHjCZr7a7AIcy8sPBKy","Smooth Criminal","spotify:artist:6TZdvF1kFzwnQLgHQynzsO","Alien Ant Farm","spotify:album:5klPnHQ5dy6Qm2Ul7h1lp5","Anthology","spotify:artist:6TZdvF1kFzwnQLgHQynzsO","Alien Ant Farm","2001-01-01","https://i.scdn.co/image/ab67616d0000b2733aa5698b9f13447a6ccc0dcc","1","12","209266","","false","72","USDW10022224","spotify:user:1234656043","2018-10-03T18:30:31Z"
"spotify:track:5GorCbAP4aL0EJ16frG2hd","Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:3id4t9IqRoB1f1smOERtrY","Greatest Hits: God's Favorite Band","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2017-11-17","https://i.scdn.co/image/ab67616d0000b2737f213369d5265a60af5f7e82","1","14","262333","https://p.scdn.co/mp3-preview/ee31c0819b67a153ae004ad81dc431a532a605de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USRE10400985","spotify:user:1234656043","2018-10-03T18:30:49Z"
"spotify:track:3ZOEytgrvLwQaqXreDs2Jx","Can't Stop","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:6deiaArbeoqp1xPEGdEKp1","By the Way (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2002-07-09","https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4","1","7","269000","https://p.scdn.co/mp3-preview/27b41ccdd27a08bc2a38d103ae764796eb263c3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10201694","spotify:user:1234656043","2018-10-03T18:31:57Z"
"spotify:track:6nTiIhLmQ3FWhvrGafw2zj","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5dN7F9DV0Qg1XRdIgW8rke","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b","1","1","176346","https://p.scdn.co/mp3-preview/b1762f4a9d093c69f9c16093fe32ebceb254b70e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USRE10400888","spotify:user:1234656043","2018-10-03T18:33:02Z"
