"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:51nWdZNUyFZqpUMwWZDhMH","Carolina Drama","spotify:artist:4wo1267SJuUfHgasdlfNfc","The Raconteurs","spotify:album:0OBNtBshpjFPStZGJTGNJr","Consolers of the Lonely","spotify:artist:4wo1267SJuUfHgasdlfNfc","The Raconteurs","2008-03-05","https://i.scdn.co/image/ab67616d0000b273596f5c49176f3d485e0de325","1","14","355000","","false","0","GBBKS0800220","spotify:user:1234656043","2013-02-08T16:03:04Z"
"spotify:track:6hP8N6hD4j9zwspKHXoJWW","I Come Apart (feat. Florence Welch)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:0IROOdQ2fQUcoaEPqt1Isg","A$AP Rocky, Florence Welch","spotify:album:1E1eyI5uGllppJZCxNoF9w","LONG.LIVE.A$AP (Deluxe Version)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2013-01-11","https://i.scdn.co/image/ab67616d0000b2733265ed162fa2dd5ec6434ee4","1","16","217946","","true","0","USRC11201465","spotify:user:1234656043","2013-02-08T17:12:01Z"
"spotify:track:1MBoWQAUEzMkRtbbFKbtXb","She Hates Me","spotify:artist:2ht3wxeT69CzyKFChNnNAB, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Big Boi, Kid Cudi","spotify:album:03L5vIoDkCn0STNBAwTDEF","Vicious Lies and Dangerous Rumors (Deluxe)","spotify:artist:2ht3wxeT69CzyKFChNnNAB","Big Boi","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb8d1acbf1184d3b7b268747","1","6","230293","","true","31","USUM71215452","spotify:user:1234656043","2013-02-08T17:15:22Z"
"spotify:track:2rmvOwkEmNRNWKPHdwAuRC","Let Her Go","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","spotify:album:4rFSe18ABCzxxSW3tiznDI","Let Her Go","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","2012-07-24","https://i.scdn.co/image/ab67616d0000b2738614b96ce7be8b1371295263","1","1","252733","","false","0","GBMQN1100004","spotify:user:1234656043","2013-02-08T17:16:04Z"
"spotify:track:5FEBritagmW6iAy5wL5uXg","The Way We Ball","spotify:artist:4Q5sPmM8j4SpMqL4UA1DtS","Lil' Flip","spotify:album:5GkzesERHAJvYGw3L5r4qm","Undaground Legend (Explicit)","spotify:artist:4Q5sPmM8j4SpMqL4UA1DtS","Lil' Flip","2002-08-27","https://i.scdn.co/image/ab67616d0000b273e3022d97bd8686ce8f091dac","1","6","283733","https://p.scdn.co/mp3-preview/f065b82db6fdf40f89d90be18d90fe0a783ca93a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USLR50200160","spotify:user:1234656043","2013-02-08T17:18:38Z"
"spotify:track:0FewJiOWwwe7jKy9opGkpz","The Fear","spotify:artist:5schNIzWdI9gJ1QRK8SBnc","Ben Howard","spotify:album:1HWi1cL1VGLCiIYGfvHJmG","Every Kingdom","spotify:artist:5schNIzWdI9gJ1QRK8SBnc","Ben Howard","2011","https://i.scdn.co/image/ab67616d0000b273f121439bce0dc528a5774a1e","1","6","260342","","false","0","GBUM71104743","spotify:user:1234656043","2013-02-08T17:18:53Z"
"spotify:track:4ia0bq2D0F5zR4gpA92vfN","I Stand Alone","spotify:artist:4EMtGVFvfCSrEmWaGV0roE","Theophilus London","spotify:album:2zIj9RrNxPuFJrCZDdL3wG","Timez Are Weird These Days","spotify:artist:4EMtGVFvfCSrEmWaGV0roE","Theophilus London","2011-05-16","https://i.scdn.co/image/ab67616d0000b2739ab6a91d1b1ee55068a46bd5","1","11","202653","https://p.scdn.co/mp3-preview/481e49f78152d41bb3814b0c7cdf344b2b5fe3a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USWB11101039","spotify:user:1234656043","2013-02-08T17:19:17Z"
"spotify:track:0kSgECIEu3ARlKI5M6Z30E","Harlem Shake","spotify:artist:25fqWEebq6PoiGQIHIrdtv","Baauer","spotify:album:4oqAQA4MicP85gMF301DtL","Jeffree's Volume 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-06-12","https://i.scdn.co/image/ab67616d0000b2736d656425840da4afbcf51bab","1","7","196664","","false","0","USZ4V1200043","spotify:user:1234656043","2013-02-08T17:26:01Z"
"spotify:track:5HIghqkiOvS9ho1MXhMnkl","Worker's Song","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:1aOX5C1Na21NsSHzF4ct5k","Blackout","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","2003-06-10","https://i.scdn.co/image/ab67616d0000b2735aa9120d017cb53c7c63f432","1","2","212373","","false","0","USHEL0322102","spotify:user:1234656043","2013-02-08T23:02:06Z"
"spotify:track:39G4fHR0tZmIudQy71BWR6","Oh Hail No","spotify:artist:1Sq6VkcHqHAuFvURbH3sXQ, spotify:artist:57UnSUpae3SbRekxNa5Kgl, spotify:artist:7aA592KWirLsnfb5ulGWvU","Mr. Muthafuckin' eXquire, El-P, Danny Brown","spotify:album:5zCfx4NLmvjmI3mwYJgdlT","Cancer 4 Cure","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","2012-05-22","https://i.scdn.co/image/ab67616d0000b273889ae0fd30126209ed9202a6","1","5","221146","","true","0","USFP71227005","spotify:user:1234656043","2013-02-08T23:02:06Z"
