"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5OiaAaIMYlCZONyDBxqk4G","First Day Of My Life","spotify:artist:5o206eFLx38glA2bb4zqIU","Bright Eyes","spotify:album:5msfCyqu8fJYqDDV6OrXTg","I'm Wide Awake, It's Morning","spotify:artist:5o206eFLx38glA2bb4zqIU","Bright Eyes","2005-01-25","https://i.scdn.co/image/ab67616d0000b273d5edf0a2f87a3a6ce19c48e7","1","6","188800","","false","0","US2U60507206","spotify:user:1234656043","2016-12-21T04:36:55Z"
"spotify:track:2pp3RfqX5cb1BAnmNi4Nej","What A Wonderful World - Single Version","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:16niuq7vcf4QvnnrJO7yFc","All Time Greatest Hits","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738496ba38d3eaaa0a076be39e","1","1","140333","","false","0","USMC16758823","spotify:user:1234656043","2016-12-21T04:39:39Z"
"spotify:track:215CQxt51QFSSjh56Q9cOH","Because You Loved Me (Theme from ""Up Close and Personal"")","spotify:artist:4S9EykWXhStSc15wEx8QFK","Céline Dion","spotify:album:4Weiw9hd6IyxyjRyeDp3dF","The Essential Celine Dion","spotify:artist:4S9EykWXhStSc15wEx8QFK","Céline Dion","2008","https://i.scdn.co/image/ab67616d0000b2735080a7394d0d11f711341c47","1","8","275240","","false","0","CAC229600025","spotify:user:1234656043","2016-12-21T04:37:27Z"
"spotify:track:0CmIALzGn4vHIHJG4n3Q4z","At Last - Single Version","spotify:artist:0iOVhN3tnSvgDbcg25JoJb","Etta James","spotify:album:2pBhXw3Hi1hBf8FpAtE101","At Last!","spotify:artist:0iOVhN3tnSvgDbcg25JoJb","Etta James","1960","https://i.scdn.co/image/ab67616d0000b273d97bf715a906411fe4709fff","1","7","182400","","false","0","USMC16046323","spotify:user:1234656043","2016-12-21T04:58:51Z"
"spotify:track:34gCuhDGsG4bRPIf9bb02f","Thinking out Loud","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:1xn54DMo2qIqBuMqHtUsFd","x (Deluxe Edition)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2014-06-21","https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd","1","11","281560","https://p.scdn.co/mp3-preview/5f52a18092cbd70d76d5d482d8af91768134f3f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBAHS1400099","spotify:user:1234656043","2016-12-21T04:59:07Z"
"spotify:track:4Fs6KJzg4d0xrGZt7wrC0M","When I Get My Hands On You","spotify:artist:2oQpz9DEfhuSbuT8hjhTDK","The New Basement Tapes","spotify:album:0P08GE8Ep1eBK9dOnaYdRq","Lost On The River","spotify:artist:2oQpz9DEfhuSbuT8hjhTDK","The New Basement Tapes","2014-08-19","https://i.scdn.co/image/ab67616d0000b273e81124204c88882d0343eaee","1","7","190400","","false","55","USUM71411811","spotify:user:1234656043","2016-12-21T04:36:32Z"
